date,returns_austria,returns_belgium,returns_finland,returns_france,returns_germany,returns_greece,returns_ireland,returns_italy,returns_netherlands,returns_portugal,returns_spain,returns_sweden,returns_switzerland,returns_uk,,EUI
07/07/2015,-1.84%,-1.60%,-2.25%,-2.30%,-1.98%,0.00%,-0.91%,-3.02%,-2.30%,-2.27%,-1.86%,-0.96%,-1.15%,-2.11%,,184
08/07/2015,1.24%,0.64%,0.71%,0.74%,0.66%,0.00%,-0.63%,2.61%,0.52%,1.40%,0.81%,0.42%,0.54%,-0.24%,,184
09/07/2015,2.18%,2.43%,2.65%,2.52%,2.29%,0.00%,1.97%,3.46%,2.35%,3.90%,2.61%,1.85%,1.31%,1.48%,,184
10/07/2015,2.16%,2.35%,2.22%,3.02%,2.86%,0.00%,1.81%,2.96%,2.40%,2.99%,3.03%,2.13%,1.59%,1.32%,,184
11/07/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.34%,0.00%,,184
12/07/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,184
13/07/2015,1.95%,2.00%,1.73%,1.92%,1.48%,0.00%,1.63%,1.00%,1.75%,1.78%,1.69%,2.31%,1.38%,2.39%,,184
14/07/2015,-0.26%,0.20%,0.74%,0.69%,0.28%,0.00%,0.74%,-0.30%,0.80%,-0.62%,0.30%,-0.13%,1.09%,1.05%,,184
15/07/2015,-0.33%,0.83%,-0.13%,0.29%,0.20%,0.00%,0.32%,1.27%,0.66%,0.79%,0.69%,-0.37%,-0.11%,0.58%,,184
16/07/2015,1.34%,1.28%,1.36%,1.46%,1.52%,0.00%,0.65%,1.65%,0.78%,1.32%,1.53%,2.25%,1.50%,1.04%,,184
17/07/2015,0.05%,-0.06%,0.52%,0.06%,-0.37%,0.00%,-0.17%,-0.08%,-0.12%,-0.43%,-0.26%,-0.90%,-0.15%,0.00%,,184
18/07/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.15%,0.20%,,184
19/07/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,184
20/07/2015,0.74%,0.38%,1.42%,0.35%,0.53%,0.00%,0.34%,1.11%,0.33%,0.02%,0.65%,1.60%,0.08%,-0.13%,,184
21/07/2015,-0.42%,-0.69%,-2.60%,-0.70%,-1.12%,0.00%,-0.58%,-1.33%,-0.66%,-0.64%,-0.85%,-1.15%,-1.44%,-1.32%,,184
22/07/2015,-0.79%,-0.43%,-1.10%,-0.47%,-0.73%,0.00%,0.81%,-0.14%,-0.53%,-0.27%,0.22%,-1.47%,-1.09%,-1.03%,,184
23/07/2015,0.11%,-0.10%,-0.04%,0.08%,-0.07%,0.00%,-0.10%,-0.20%,0.05%,0.20%,-0.37%,-0.26%,0.46%,-1.36%,,184
24/07/2015,-0.65%,-0.79%,-0.27%,-0.58%,-1.44%,0.00%,-0.45%,-0.53%,-1.28%,-0.59%,-1.17%,-0.75%,-1.04%,-1.23%,,184
25/07/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.09%,,184
26/07/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,184
27/07/2015,-2.11%,-1.91%,-1.46%,-2.60%,-2.60%,0.00%,-2.56%,-3.02%,-1.75%,-1.98%,-1.46%,-1.92%,-2.17%,-1.80%,,184
28/07/2015,1.00%,0.49%,0.73%,1.00%,1.06%,0.00%,0.97%,2.25%,0.88%,-0.30%,0.96%,0.04%,1.14%,1.29%,,184
29/07/2015,0.07%,0.00%,0.93%,0.80%,0.34%,0.00%,0.74%,-0.34%,0.72%,0.69%,0.27%,0.40%,1.35%,1.83%,,184
30/07/2015,-0.03%,0.20%,1.19%,0.58%,0.40%,0.00%,0.34%,0.63%,1.19%,0.71%,-1.02%,1.03%,0.42%,0.99%,,184
31/07/2015,0.73%,0.96%,-0.08%,0.71%,0.46%,0.00%,0.98%,0.61%,0.01%,-0.42%,0.11%,0.25%,-0.08%,0.08%,,184
01/08/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.39%,0.09%,,144
02/08/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,144
03/08/2015,0.00%,0.97%,0.74%,0.74%,1.18%,5.30%,1.81%,0.74%,1.04%,0.54%,0.76%,0.13%,0.20%,-0.08%,,144
04/08/2015,-0.39%,0.05%,0.23%,-0.16%,0.11%,10.24%,-0.01%,-1.02%,-0.08%,-0.62%,-1.03%,-0.41%,-0.17%,0.43%,,144
05/08/2015,0.48%,0.79%,0.30%,1.64%,1.56%,6.61%,1.08%,1.85%,0.69%,0.81%,1.15%,0.91%,0.25%,1.07%,,144
06/08/2015,-0.80%,0.27%,-0.10%,-0.09%,-0.44%,-1.84%,-1.43%,-0.42%,-0.45%,-2.33%,-0.23%,-1.07%,-1.13%,-0.84%,,144
07/08/2015,0.25%,-1.16%,-0.90%,-0.72%,-0.82%,4.32%,-0.36%,-0.45%,-0.93%,-0.62%,-0.67%,-1.27%,-1.20%,-1.02%,,144
08/08/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.13%,,144
09/08/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,144
10/08/2015,0.36%,0.31%,0.73%,0.79%,0.99%,4.27%,0.05%,1.10%,0.69%,0.52%,1.19%,1.98%,0.65%,0.35%,,144
11/08/2015,-1.15%,-1.54%,-1.55%,-1.87%,-2.72%,3.65%,-0.54%,-1.12%,-1.14%,-1.84%,-1.42%,-1.21%,-1.58%,-1.31%,,144
12/08/2015,-2.22%,-3.08%,-2.92%,-3.46%,-3.32%,0.86%,-2.72%,-3.00%,-3.49%,-1.13%,-2.47%,-2.84%,-2.35%,-2.26%,,144
13/08/2015,1.58%,0.96%,1.81%,1.24%,0.82%,-0.04%,1.95%,1.54%,-0.09%,2.03%,0.62%,2.78%,1.53%,-0.04%,,144
14/08/2015,0.03%,-0.66%,0.02%,-0.61%,-0.27%,-0.37%,0.29%,-0.46%,-0.65%,-0.09%,-0.63%,-0.53%,0.58%,0.27%,,144
15/08/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.15%,0.00%,,144
16/08/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,144
17/08/2015,-0.12%,-0.03%,-0.09%,0.57%,-0.41%,-2.74%,0.26%,0.68%,0.09%,0.81%,0.19%,0.44%,0.42%,-0.02%,,144
18/08/2015,0.47%,0.25%,-0.09%,-0.27%,-0.22%,-0.85%,0.76%,-0.08%,0.99%,-0.16%,-0.02%,-0.40%,0.41%,0.58%,,144
19/08/2015,-0.75%,-1.62%,-1.95%,-1.77%,-2.16%,1.73%,-1.16%,-1.79%,-2.06%,-1.83%,-1.07%,-2.30%,-0.98%,-2.59%,,144
20/08/2015,-2.01%,-1.50%,-2.67%,-2.08%,-2.37%,-5.18%,-2.17%,-2.63%,-2.17%,-1.09%,-1.83%,-2.36%,-1.99%,-1.55%,,144
21/08/2015,-3.35%,-3.06%,-2.55%,-3.24%,-2.99%,-1.37%,-3.16%,-2.87%,-3.61%,-2.77%,-3.02%,-1.98%,-3.41%,-4.25%,,144
22/08/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.15%,0.14%,,144
23/08/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,144
24/08/2015,-4.80%,-5.12%,-5.37%,-5.49%,-4.82%,-0.85%,-5.19%,-6.14%,-5.38%,-5.98%,-5.14%,-5.39%,-4.20%,-6.13%,,144
25/08/2015,3.56%,3.80%,4.23%,4.05%,4.85%,0.00%,3.89%,5.70%,3.97%,4.60%,3.61%,3.25%,2.94%,2.89%,,144
26/08/2015,-0.92%,-1.36%,-0.94%,-1.41%,-1.30%,-1.49%,0.34%,-0.82%,-1.84%,-1.00%,-1.30%,-1.42%,-1.94%,-1.20%,,144
27/08/2015,3.59%,2.87%,2.85%,3.43%,3.13%,-1.47%,3.48%,3.33%,3.36%,2.70%,3.02%,3.98%,2.45%,3.85%,,144
28/08/2015,-0.58%,0.51%,0.12%,0.36%,-0.17%,-1.40%,-0.36%,-0.94%,0.58%,-0.36%,0.61%,1.02%,0.49%,1.24%,,144
29/08/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.13%,0.07%,,144
30/08/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,144
31/08/2015,-0.46%,0.05%,-0.98%,-0.48%,-0.38%,-0.24%,1.52%,-0.24%,-0.21%,-0.48%,-0.91%,-0.85%,-0.25%,-0.53%,,144
01/09/2015,-2.04%,-2.20%,-2.40%,-2.43%,-2.41%,0.47%,-2.30%,-2.26%,-2.62%,-2.59%,-2.63%,-2.40%,-2.41%,-4.07%,,194
02/09/2015,-0.72%,0.67%,0.55%,0.30%,0.32%,0.47%,0.20%,0.75%,0.01%,-0.76%,-0.55%,0.74%,-0.29%,1.14%,,194
03/09/2015,1.83%,1.30%,2.38%,2.15%,2.65%,2.53%,1.84%,2.58%,2.50%,1.51%,1.04%,3.13%,2.12%,2.29%,,194
04/09/2015,-2.28%,-1.64%,-2.37%,-2.85%,-2.75%,5.31%,-1.17%,-3.23%,-2.65%,-2.12%,-2.22%,-3.28%,-1.58%,-3.31%,,194
05/09/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.17%,0.03%,,194
06/09/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,194
07/09/2015,0.20%,0.38%,0.23%,0.59%,0.70%,2.39%,0.65%,0.69%,0.59%,-0.54%,-0.17%,0.46%,0.10%,1.12%,,194
08/09/2015,1.17%,1.16%,1.73%,1.06%,1.60%,5.29%,0.80%,1.46%,0.91%,0.81%,0.62%,1.33%,0.00%,1.57%,,194
09/09/2015,0.67%,1.26%,1.87%,1.43%,0.31%,-2.18%,1.91%,0.84%,1.08%,0.35%,1.72%,1.20%,1.43%,0.96%,,194
10/09/2015,-0.74%,-0.85%,-1.03%,-1.47%,-0.90%,-2.23%,-0.54%,-1.03%,-1.83%,-0.63%,-1.80%,-0.95%,-1.55%,-1.23%,,194
11/09/2015,-0.67%,-0.91%,-0.84%,-1.05%,-0.85%,4.13%,-0.73%,-0.63%,-1.38%,-0.70%,-1.24%,0.56%,-0.01%,-1.17%,,194
12/09/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.00%,,194
13/09/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,194
14/09/2015,-0.21%,-0.62%,-1.11%,-0.67%,0.08%,-0.72%,-0.65%,-0.96%,-0.55%,-0.59%,-0.43%,-1.37%,-0.70%,-0.29%,,194
15/09/2015,0.48%,0.30%,0.17%,1.13%,0.56%,8.94%,1.00%,1.61%,0.99%,0.40%,0.88%,-0.22%,0.89%,0.66%,,194
16/09/2015,0.90%,1.64%,0.99%,1.66%,0.38%,-4.29%,0.34%,0.71%,1.46%,1.74%,1.97%,1.50%,1.15%,2.42%,,194
17/09/2015,-0.10%,-0.37%,-0.23%,0.20%,0.02%,1.13%,0.41%,0.19%,-0.20%,0.21%,1.29%,-0.04%,-0.36%,-1.32%,,194
18/09/2015,-2.19%,-1.41%,-1.80%,-2.60%,-3.11%,5.10%,-0.79%,-2.68%,-2.38%,-0.71%,-2.60%,-2.11%,-1.09%,-0.77%,,194
19/09/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.11%,0.04%,,194
20/09/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,194
21/09/2015,0.18%,0.82%,1.07%,1.09%,0.33%,-0.54%,0.57%,1.11%,1.27%,1.16%,0.10%,0.31%,1.05%,0.93%,,194
22/09/2015,-2.02%,-2.96%,-3.40%,-3.48%,-3.87%,-3.70%,-2.25%,-3.38%,-3.01%,-2.43%,-3.16%,-2.47%,-3.29%,-3.25%,,194
23/09/2015,0.23%,0.26%,0.23%,0.10%,0.44%,2.64%,0.34%,0.18%,-0.20%,0.38%,-0.79%,-1.15%,-1.34%,0.33%,,194
24/09/2015,-1.49%,-1.71%,-2.82%,-1.95%,-1.94%,-3.88%,-2.91%,-2.34%,-2.23%,-1.45%,-1.95%,-2.64%,-1.83%,-1.24%,,194
25/09/2015,1.56%,2.41%,2.48%,3.02%,2.73%,0.19%,1.70%,3.61%,3.11%,2.02%,2.43%,2.42%,2.44%,1.97%,,194
26/09/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.15%,0.05%,,194
27/09/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,194
28/09/2015,-1.75%,-1.81%,-2.45%,-2.80%,-2.14%,-2.96%,-1.30%,-2.76%,-2.51%,-1.86%,-1.32%,-2.88%,-1.45%,-2.94%,,194
29/09/2015,0.88%,-0.64%,0.56%,-0.31%,-0.35%,-4.87%,-2.72%,-0.15%,-0.05%,-1.42%,0.00%,0.94%,-0.53%,-1.09%,,194
30/09/2015,1.89%,1.44%,1.72%,2.54%,2.20%,0.25%,1.82%,2.70%,2.17%,3.04%,1.75%,2.70%,2.68%,3.07%,,194
01/10/2015,-0.06%,-0.52%,-0.08%,-0.65%,-1.58%,-0.19%,-0.56%,-0.72%,-0.55%,1.22%,0.08%,-1.11%,-0.45%,0.06%,,165
02/10/2015,0.36%,0.47%,0.88%,0.73%,0.46%,-5.35%,-0.69%,1.18%,0.89%,2.08%,0.38%,0.51%,0.36%,1.04%,,165
03/10/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.15%,0.15%,,165
04/10/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,165
05/10/2015,2.56%,2.81%,3.34%,3.48%,2.70%,3.21%,2.83%,2.70%,3.33%,3.41%,3.76%,3.68%,2.25%,2.57%,,165
06/10/2015,1.31%,0.26%,1.42%,0.94%,0.89%,1.13%,0.34%,0.92%,0.87%,1.18%,1.32%,0.45%,0.42%,0.27%,,165
07/10/2015,1.09%,-0.21%,0.06%,0.14%,0.68%,7.84%,-1.71%,-0.80%,-0.03%,0.64%,0.66%,-0.23%,-1.78%,0.99%,,165
08/10/2015,-0.09%,-0.11%,0.00%,0.18%,0.23%,0.08%,-0.10%,0.68%,0.34%,-0.03%,0.11%,0.45%,0.70%,0.43%,,165
09/10/2015,0.59%,0.19%,0.60%,0.54%,1.03%,-3.72%,-0.62%,0.45%,-0.10%,0.42%,1.25%,1.19%,-0.20%,-0.28%,,165
10/10/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.23%,0.00%,,165
11/10/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,165
12/10/2015,-0.16%,-0.64%,0.06%,-0.27%,0.23%,-0.20%,-0.06%,-0.75%,-0.36%,-3.10%,-0.61%,0.13%,0.11%,-0.49%,,165
13/10/2015,-1.85%,-0.72%,-0.86%,-0.97%,-0.86%,0.26%,0.29%,-0.19%,-0.41%,-1.39%,-1.29%,-1.19%,-0.36%,-1.23%,,165
14/10/2015,0.84%,-0.58%,-0.43%,-0.74%,-1.17%,-2.24%,-0.24%,-0.96%,-0.90%,0.22%,-0.77%,-1.65%,-0.84%,-0.51%,,165
15/10/2015,1.30%,0.67%,1.09%,1.43%,1.49%,3.53%,1.59%,1.73%,2.14%,1.56%,0.64%,0.05%,1.69%,1.99%,,165
16/10/2015,0.90%,0.76%,-0.45%,0.59%,0.39%,0.43%,0.84%,0.54%,0.93%,0.33%,1.28%,-0.15%,0.47%,0.53%,,165
17/10/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.19%,0.00%,,165
18/10/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,165
19/10/2015,-0.33%,0.40%,1.13%,0.03%,0.59%,0.00%,0.00%,0.37%,0.32%,0.08%,-0.24%,-0.11%,-0.24%,0.02%,,165
20/10/2015,0.25%,-0.16%,0.18%,-0.65%,-0.16%,0.16%,0.18%,-0.67%,-0.46%,0.39%,-1.05%,0.51%,-0.84%,-0.49%,,165
21/10/2015,1.18%,-0.20%,-0.12%,0.45%,0.89%,0.62%,0.92%,-0.44%,0.56%,-1.25%,0.56%,-1.12%,-0.81%,-0.04%,,165
22/10/2015,2.03%,1.02%,1.91%,2.26%,2.45%,-0.39%,0.91%,1.98%,1.80%,0.41%,2.03%,2.88%,3.04%,2.56%,,165
23/10/2015,0.23%,1.70%,0.91%,2.50%,2.84%,-0.23%,1.68%,0.53%,1.53%,1.00%,1.06%,1.54%,1.34%,1.12%,,165
24/10/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.18%,0.00%,,165
25/10/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,165
26/10/2015,0.00%,0.13%,-0.02%,-0.54%,0.06%,-0.77%,-0.69%,-0.47%,-0.47%,-0.21%,0.02%,-0.31%,-0.93%,-0.48%,,165
27/10/2015,-2.34%,-0.35%,-1.51%,-1.03%,-1.02%,4.08%,-1.40%,-1.16%,-0.96%,-2.13%,-1.50%,-1.12%,-0.86%,-0.85%,,165
28/10/2015,1.02%,1.85%,0.90%,0.89%,1.30%,1.20%,0.90%,1.40%,1.04%,1.35%,0.96%,1.22%,1.22%,1.84%,,165
29/10/2015,-0.52%,0.21%,0.69%,-0.10%,-0.29%,0.00%,-0.72%,-1.08%,-0.05%,1.52%,-0.24%,-0.37%,0.18%,-0.93%,,165
30/10/2015,-0.09%,0.37%,0.61%,0.24%,0.46%,-0.39%,0.44%,0.00%,-0.19%,0.31%,-0.35%,-0.19%,-0.28%,-0.02%,,165
31/10/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.00%,,165
01/11/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,164
02/11/2015,0.53%,0.66%,1.02%,0.38%,0.92%,-1.48%,1.07%,0.17%,0.53%,0.69%,0.55%,0.26%,-0.06%,-0.06%,,164
03/11/2015,0.41%,-0.40%,0.78%,0.41%,0.00%,2.91%,0.11%,-0.10%,0.49%,1.09%,0.45%,0.76%,0.06%,0.81%,,164
04/11/2015,-0.45%,0.00%,0.99%,0.25%,-0.97%,0.19%,0.56%,-0.65%,0.43%,0.42%,0.08%,1.28%,0.86%,1.14%,,164
05/11/2015,-0.45%,-0.26%,-0.15%,0.64%,0.39%,-4.93%,-0.15%,-0.40%,-0.48%,-1.44%,-0.40%,-0.59%,0.08%,-2.08%,,164
06/11/2015,2.93%,1.35%,0.70%,0.08%,0.92%,-0.58%,1.05%,1.37%,0.69%,-0.28%,0.21%,0.39%,-0.10%,0.03%,,164
07/11/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.22%,0.00%,,164
08/11/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,164
09/11/2015,-0.69%,-0.70%,-1.17%,-1.48%,-1.58%,1.47%,-1.10%,-1.90%,-1.03%,-4.13%,-1.23%,-0.65%,-1.04%,-0.58%,,164
10/11/2015,0.00%,-0.30%,-0.41%,0.02%,0.16%,-1.86%,0.08%,1.51%,0.04%,-0.33%,0.11%,-0.53%,-0.31%,0.00%,,164
11/11/2015,-0.40%,1.18%,1.32%,0.82%,0.69%,-1.38%,0.38%,-0.26%,0.86%,-0.13%,0.39%,0.65%,0.33%,0.68%,,164
12/11/2015,-3.09%,-1.28%,-1.18%,-1.95%,-1.15%,-0.20%,-0.99%,-2.38%,-2.01%,-1.25%,-2.27%,-1.55%,-0.96%,-2.30%,,164
13/11/2015,0.29%,-0.17%,-1.06%,-1.01%,-0.69%,-1.40%,-0.28%,-0.07%,-1.38%,-0.32%,-0.32%,-1.03%,-0.94%,-0.62%,,164
14/11/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.11%,0.00%,,164
15/11/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,164
16/11/2015,0.15%,0.81%,0.83%,-0.08%,0.05%,-1.98%,0.22%,-0.15%,0.16%,0.73%,0.13%,0.42%,0.09%,1.06%,,164
17/11/2015,1.79%,1.71%,1.82%,2.73%,2.38%,6.66%,1.35%,2.26%,2.66%,2.50%,2.34%,2.51%,2.48%,2.48%,,164
18/11/2015,0.80%,-0.32%,0.25%,-0.62%,-0.10%,2.91%,-0.36%,-0.98%,-0.13%,0.78%,-1.00%,0.17%,-0.27%,0.06%,,164
19/11/2015,1.04%,0.50%,-0.03%,0.17%,1.14%,7.15%,2.01%,0.45%,0.66%,-0.51%,0.91%,-0.14%,0.23%,0.59%,,164
20/11/2015,-0.29%,0.02%,0.53%,-0.08%,0.31%,-1.51%,0.39%,-0.23%,-0.07%,-0.81%,-0.62%,0.80%,0.27%,0.14%,,164
21/11/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,,164
22/11/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,-0.06%,-0.07%,,164
23/11/2015,0.41%,-0.27%,0.59%,-0.45%,-0.25%,-8.38%,0.19%,0.70%,-0.54%,-0.19%,-0.13%,-0.29%,-0.83%,-0.77%,,164
24/11/2015,-1.62%,-0.55%,-1.94%,-1.42%,-1.44%,2.06%,-1.21%,-1.57%,-1.05%,-0.59%,-0.69%,-1.54%,-1.23%,-0.78%,,164
25/11/2015,-0.53%,0.98%,1.05%,1.50%,2.13%,2.61%,0.97%,1.86%,1.46%,0.57%,0.20%,0.92%,1.15%,1.40%,,164
26/11/2015,1.15%,1.18%,0.76%,1.08%,1.34%,-2.61%,1.49%,1.04%,0.89%,0.96%,1.02%,1.12%,0.40%,0.90%,,164
27/11/2015,0.20%,0.00%,-0.10%,-0.32%,-0.24%,-4.53%,-0.19%,-0.08%,-0.01%,0.24%,-0.21%,0.04%,-0.18%,-0.65%,,164
28/11/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.02%,0.00%,,164
29/11/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,164
30/11/2015,0.59%,0.22%,0.72%,0.56%,0.78%,3.03%,0.59%,0.63%,-0.56%,-0.19%,0.74%,1.41%,0.25%,0.11%,,164
01/12/2015,0.52%,-0.45%,-0.07%,-0.87%,-1.07%,-6.38%,0.18%,-0.60%,-0.47%,-0.01%,-0.07%,-0.48%,-0.23%,0.23%,,147
02/12/2015,-0.54%,-0.30%,0.57%,-0.18%,-0.63%,2.95%,0.52%,-0.13%,-0.06%,0.68%,-0.36%,0.30%,1.11%,-0.33%,,147
03/12/2015,-1.39%,-2.31%,-2.28%,-3.64%,-3.65%,0.57%,-1.98%,-2.50%,-3.74%,-1.89%,-2.44%,-2.73%,-2.20%,-3.90%,,147
04/12/2015,-0.22%,-0.18%,-0.54%,-0.33%,-0.34%,2.85%,0.02%,0.11%,-0.67%,-0.57%,-0.14%,-0.80%,-0.61%,-0.50%,,147
05/12/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.17%,0.00%,,147
06/12/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,147
07/12/2015,-0.74%,0.71%,0.63%,0.88%,1.24%,-1.70%,1.39%,0.07%,0.34%,-0.10%,-0.36%,0.51%,0.22%,-0.12%,,147
08/12/2015,0.00%,-1.38%,-2.12%,-1.58%,-1.97%,-2.12%,-1.35%,-2.29%,-1.54%,-1.68%,-2.07%,-2.81%,-1.18%,-2.24%,,147
09/12/2015,-2.37%,-0.88%,-1.13%,-0.95%,-0.76%,-5.48%,-0.63%,-0.17%,-0.17%,0.11%,-0.02%,-1.02%,-1.07%,-0.12%,,147
10/12/2015,0.60%,-0.21%,1.34%,-0.05%,0.06%,2.33%,-0.44%,-0.42%,-0.69%,0.07%,-0.58%,-1.11%,0.26%,-0.15%,,147
11/12/2015,-2.03%,-1.11%,-3.00%,-1.86%,-2.47%,0.55%,-0.85%,-1.86%,-2.02%,-1.67%,-1.53%,-2.51%,-1.46%,-2.32%,,147
12/12/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.09%,0.00%,,147
13/12/2015,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,147
14/12/2015,-2.05%,-1.30%,-1.30%,-1.70%,-1.96%,-2.98%,-0.58%,-2.45%,-1.99%,-1.25%,-2.12%,-0.55%,-1.84%,-1.68%,,147
15/12/2015,2.59%,2.52%,2.88%,3.11%,3.02%,-3.16%,1.00%,3.67%,3.04%,2.50%,2.96%,2.87%,2.43%,2.17%,,147
16/12/2015,1.54%,0.92%,0.76%,0.22%,0.18%,-4.12%,-0.04%,-0.30%,0.05%,1.23%,-0.01%,0.41%,0.65%,0.83%,,147
